Client_Code,Client_Name,Client_Type,Industry Type,Incentive_Enrolled,Relation,Popl_Type,Count,Reachable_Rate_wrt_Eligible,Registration_Rate_wrt_Eligible,Registration_Rate_wrt_Reachable,Gender_Female,Generation,Tenure,Health_Risk,Claims_Cost,Engagement_by_Logins,Engagement_by_Clicks,autoimmune_disorders_and_diseases,behavioral_health,blood_disorder,cancer,cardiovascular_disorders_and_diseases_non_diabetic,chronic_respiratory_diseases,congenital_disorder,diabetes,digestive_disorders,musculoskeletal_disorders_and_diseases,neurological_disorders_and_diseases,nutritional_life_style_disorders,other_disorders_and_diseases,renal_disorder
1004,The Home Depot,Direct,Retail/Wholesale Trade,TRUE,Employee,Eligible Popl,356360,On Par,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,More GenZ,On Par,On Par,More Low_Claims_Cost & Less Medium_Claims_Cost,More Low_Logins & Less Frequent_Logins,More Low_Clicks & Less Medium_Clicks & Less Frequent_Clicks,On Par,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1004,The Home Depot,Direct,Retail/Wholesale Trade,TRUE,All Relation,Eligible Popl,417806,More Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,On Par,On Par,On Par,More Low_Claims_Cost & Less Medium_Claims_Cost,More Low_Logins & Less Frequent_Logins,More Low_Clicks & Less Medium_Clicks & Less Frequent_Clicks,On Par,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,Less musculoskeletal disorders and diseases,On Par,On Par,On Par,On Par
1004,The Home Depot,Direct,Retail/Wholesale Trade,TRUE,All Relation,Registered Popl,184862,More Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,On Par,On Par,On Par,On Par,More Low_Logins & Less Frequent_Logins,More Low_Clicks & Less Medium_Clicks & Less Frequent_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1004,The Home Depot,Direct,Retail/Wholesale Trade,TRUE,Employee,Registered Popl,167040,On Par,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,On Par,On Par,On Par,On Par,More Low_Logins & Less Frequent_Logins,More Low_Clicks & Less Medium_Clicks & Less Frequent_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1006,The Texas A&M University System,Direct,Educational Institution,TRUE,Employee,Eligible Popl,30722,On Par,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,More FEMALE,Less GenZ & Less Millennials & More Swing,Less Low_Tenure & Less Medium_Tenure & More High_Tenure,More At_Risk,Less Low_Claims_Cost & More Medium_Claims_Cost,On Par,Less Low_Clicks & More Medium_Clicks,More autoimmune disorders and diseases,On Par,On Par,On Par,More cardiovascular disorders and diseases non diabetic,More chronic respiratory diseases,On Par,More diabetes,On Par,More musculoskeletal disorders and diseases,More neurological disorders and diseases,More nutritional life style disorders,More other disorders and diseases,More renal disorder
1006,The Texas A&M University System,Direct,Educational Institution,TRUE,All Relation,Eligible Popl,40408,More Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More Swing,Less Low_Tenure & Less Medium_Tenure & More High_Tenure,More At_Risk,Less Low_Claims_Cost & More Medium_Claims_Cost,On Par,Less Low_Clicks & More Medium_Clicks,More autoimmune disorders and diseases,On Par,On Par,On Par,More cardiovascular disorders and diseases non diabetic,More chronic respiratory diseases,On Par,More diabetes,On Par,More musculoskeletal disorders and diseases,More neurological disorders and diseases,More nutritional life style disorders,More other disorders and diseases,More renal disorder
1006,The Texas A&M University System,Direct,Educational Institution,TRUE,All Relation,Registered Popl,23299,More Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More Swing,Less Low_Tenure & Less Medium_Tenure & More High_Tenure,More At_Risk,Less Low_Claims_Cost & More Medium_Claims_Cost,On Par,Less Low_Clicks & More Medium_Clicks,More autoimmune disorders and diseases,On Par,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,More musculoskeletal disorders and diseases,More neurological disorders and diseases,More nutritional life style disorders,On Par,On Par
1006,The Texas A&M University System,Direct,Educational Institution,TRUE,Employee,Registered Popl,19474,On Par,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More Swing,Less Low_Tenure & Less Medium_Tenure & More High_Tenure,More At_Risk,Less Low_Claims_Cost & More Medium_Claims_Cost,On Par,Less Low_Clicks & More Medium_Clicks,More autoimmune disorders and diseases,On Par,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,More musculoskeletal disorders and diseases,More neurological disorders and diseases,More nutritional life style disorders,On Par,On Par
1031,Cooper Standard,Direct,Retail/Wholesale Trade,FALSE,Employee,Eligible Popl,2877,Less Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More Boomers,Less Low_Tenure,On Par,On Par,More Low_Logins & Less Medium_Logins & Less Frequent_Logins,On Par,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,On Par,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,On Par,On Par
1031,Cooper Standard,Direct,Retail/Wholesale Trade,FALSE,All Relation,Eligible Popl,3843,Less Reachable_Rate_wrt_Eligible,On Par,More Registration_Rate_wrt_Reachable,On Par,Less GenZ & More Boomers,Less Low_Tenure,On Par,On Par,More Low_Logins & Less Medium_Logins & Less Frequent_Logins,On Par,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,On Par,On Par
1031,Cooper Standard,Direct,Retail/Wholesale Trade,FALSE,All Relation,Registered Popl,1407,Less Reachable_Rate_wrt_Eligible,On Par,More Registration_Rate_wrt_Reachable,Less FEMALE,Less GenZ & More Boomers & Less Swing,On Par,On Par,On Par,More Low_Logins & Less Medium_Logins & Less Frequent_Logins,On Par,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,Less other disorders and diseases,On Par
1031,Cooper Standard,Direct,Retail/Wholesale Trade,FALSE,Employee,Registered Popl,1352,Less Reachable_Rate_wrt_Eligible,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,Less FEMALE,Less GenZ & More Boomers & Less Swing,On Par,On Par,On Par,More Low_Logins & Less Medium_Logins & Less Frequent_Logins,On Par,Less autoimmune disorders and diseases,Less behavioral health,On Par,On Par,Less cardiovascular disorders and diseases non diabetic,Less chronic respiratory diseases,On Par,Less diabetes,On Par,Less musculoskeletal disorders and diseases,Less neurological disorders and diseases,Less nutritional life style disorders,Less other disorders and diseases,On Par
1037,UPS,Direct,Transportation,TRUE,Employee,Eligible Popl,93352,On Par,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,On Par,Less Low_Tenure & More High_Tenure,On Par,On Par,On Par,Less Low_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1037,UPS,Direct,Transportation,TRUE,All Relation,Eligible Popl,152363,Less Reachable_Rate_wrt_Eligible,On Par,More Registration_Rate_wrt_Reachable,On Par,On Par,Less Low_Tenure & More High_Tenure,On Par,On Par,On Par,Less Low_Clicks,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,NA
1037,UPS,Direct,Transportation,TRUE,All Relation,Registered Popl,52071,Less Reachable_Rate_wrt_Eligible,On Par,More Registration_Rate_wrt_Reachable,On Par,Less Swing,Less Low_Tenure & Less Medium_Tenure & More High_Tenure,On Par,On Par,On Par,Less Low_Clicks,On Par,On Par,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1037,UPS,Direct,Transportation,TRUE,Employee,Registered Popl,44274,On Par,More Registration_Rate_wrt_Eligible,More Registration_Rate_wrt_Reachable,On Par,Less Swing,Less Low_Tenure & Less Medium_Tenure & More High_Tenure,On Par,On Par,On Par,Less Low_Clicks,On Par,On Par,On Par,On Par,More cardiovascular disorders and diseases non diabetic,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par,On Par
1049,Gap,Direct,Retail/Wholesale Trade,FALSE,Employee,Eligible Popl,58457,On Par,On Par,On Par,More FEMALE,More GenZ & Less Boomers,More Low_Tenure & Less High_Tenure,NA,NA,Less Low_Logins & More Frequent_Logins,On Par,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,Gap,Direct,Retail/Wholesale Trade,FALSE,All Relation,Eligible Popl,67128,On Par,On Par,On Par,More FEMALE,More GenZ & Less Boomers,More Low_Tenure & Less High_Tenure,NA,NA,Less Low_Logins & More Frequent_Logins,On Par,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1049,Gap,Direct,Retail/Wholesale Trade,FALSE,All Relation,Registered Popl,22501,On Par,On Par,On Par,More FEMALE,More GenZ & Less Boomers & Less Swing,More Low_Tenure & Less High_Tenure,NA,NA,Less Low_Logins & More Frequent_Logins,On Par,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
